old_url,new_url,status,reason
/bjj-classes/acra-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/ashland-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/boiceville-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/coxsackie-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/durham-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/gilboa-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/grand-gorge-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/greenville-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/lanesville-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/leeds-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/lexington-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/maplecrest-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/olive-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/prattsville-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/purling-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/round-top-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/roxbury-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/saugerties-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/schoharie-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/shandaken-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/shokan-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/bjj-classes/stamford-ny/,/bjj-classes/tannersville-ny/,301,Thin town consolidation
/pricing/,/options-pricing/,301,Legacy pricing page canonical redirect
/pricing.html,/options-pricing/,301,Legacy pricing page canonical redirect
/options-pricing.html,/options-pricing/,301,Extensionless canonical redirect
/schedule.html,/schedule/,301,Extensionless canonical redirect
