url,page_type,generated_file,html_size_kb,css_requests,js_requests,image_requests,accessibility_errors,console_errors
https://senseisandy.com/,homepage,dist/index.html,42,2,3,12,0,0
https://senseisandy.com/free-bjj-intro-tannersville-ny/,free_intro,dist/free-bjj-intro-tannersville-ny/index.html,38,2,3,8,0,0
https://senseisandy.com/free-bjj-intro-tannersville-ny/confirmation/,confirmation,dist/free-bjj-intro-tannersville-ny/confirmation/index.html,14,2,3,2,0,0
https://senseisandy.com/options-pricing/,pricing,dist/options-pricing/index.html,26,2,3,4,0,0
https://senseisandy.com/schedule/,schedule,dist/schedule/index.html,28,2,3,4,0,0
https://senseisandy.com/bjj-classes/kids-tannersville-ny/,program,dist/bjj-classes/kids-tannersville-ny/index.html,24,2,3,6,0,0
https://senseisandy.com/bjj-classes/teens-tannersville-ny/,program,dist/bjj-classes/teens-tannersville-ny/index.html,24,2,3,6,0,0
https://senseisandy.com/bjj-classes/adults-tannersville-ny/,program,dist/bjj-classes/adults-tannersville-ny/index.html,25,2,3,6,0,0
https://senseisandy.com/bjj-classes/tannersville-ny/,location,dist/bjj-classes/tannersville-ny/index.html,22,2,3,5,0,0
https://senseisandy.com/bjj-classes/hunter-ny/,location,dist/bjj-classes/hunter-ny/index.html,22,2,3,5,0,0
https://senseisandy.com/bjj-classes/windham-ny/,location,dist/bjj-classes/windham-ny/index.html,22,2,3,5,0,0
https://senseisandy.com/bjj-classes/haines-falls-ny/,location,dist/bjj-classes/haines-falls-ny/index.html,22,2,3,5,0,0
