Url,time_total_load
https://senseisandy.com/bjj-glossary/top-ride,3632
https://senseisandy.com/bjj-glossary/torreando,7657
https://senseisandy.com/bjj-glossary/waiter-sweep,7865
https://senseisandy.com/bjj-glossary/whizzer,7854
https://senseisandy.com/black-belt-track,7856
https://senseisandy.com/blog/bjj-36-techniques,3532
https://senseisandy.com/blog/confidence-protocol,3622
https://senseisandy.com/blog/kids-jiu-jitsu-windham-ny,3610
https://senseisandy.com/blog/kids-martial-arts-haines-falls-beginner-friendly-jiu-jitsu,3603
https://senseisandy.com/blog/sanda-vs-jiu-jitsu,7716
https://senseisandy.com/blog/sensei-rules,7687
https://senseisandy.com/blog/snow-day-protocol-bjj-home-dojo,7696
https://senseisandy.com/blog/tannersville-bjj-tuesday,7633
https://senseisandy.com/blog/water-before-training-how-much-when,7672
https://senseisandy.com/contact,7741
https://senseisandy.com/guarantee-terms,8762
https://senseisandy.com/bjj-classes-kids-tannersville-ny,3600
https://senseisandy.com/martial-arts-hunter-ny,7871
https://senseisandy.com/videos/25-2025-mzi3kdzmau8,7798
https://senseisandy.com/videos/bjj-fundamentals-catskills-belt-tie-breakfalls-mount-escape-ecxel1po6ue,7778
https://senseisandy.com/videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-uk16cctskk8,7744
https://senseisandy.com/videos/kids-bjj-safety-skills-hair-pull-escape-grip-eenqfgrycfe,7632
https://senseisandy.com/videos/kids-teens-adult-brazilian-jiu-jitsu-friday-night-fmjtbqbn3fg,3602
https://senseisandy.com/videos/monday-tannersville-jiu-jitsu-vpcr667cyag,3593
https://senseisandy.com/videos/rear-bear-hug-body-lock-defense-seatbelt-back-wswxnsiavuu,7758
https://senseisandy.com/videos/teens-brazilian-jiu-jitsu-chokes-self-defense-lfew-qwwdgq,3615
