source_url,anchor_text,raw_href,resolved_url,status_code,final_url,redirect_count,canonical_url,issue,root_cause,anchor_markup
admin/youth-intro.html,Skip to main content,#main-content,https://senseisandy.com/admin/youth-intro#main-content,200_LOCAL,https://senseisandy.com/admin/youth-intro,0,https://senseisandy.com/admin/youth-intro,,CTA COMPONENT,"class=""ss-skip-link"" href=""#main-content"""
admin/youth-intro.html,Text Sandy,sms:+19177368649,null+19177368649,EXTERNAL_OR_SKIPPED,,,,,CTA COMPONENT,"class=""ss-topbar-sms"" href=""sms:+19177368649"""
admin/youth-intro.html,"Sensei Sandy BJJ Calm, technical Jiu-Jitsu in Tannersville",/,https://senseisandy.com/,200_LOCAL,https://senseisandy.com/,0,https://senseisandy.com/,,CTA COMPONENT,"class=""navbar-brand ss-brand"" href=""/"" aria-label=""Sensei Sandy BJJ homepage"""
admin/youth-intro.html,Kids BJJ,/bjj-classes/kids-tannersville-ny,https://senseisandy.com/bjj-classes/kids-tannersville-ny,200_LOCAL,https://senseisandy.com/bjj-classes/kids-tannersville-ny,0,https://senseisandy.com/bjj-classes/kids-tannersville-ny,,CTA COMPONENT,"class=""dropdown-item"" href=""/bjj-classes/kids-tannersville-ny"""
admin/youth-intro.html,Teens BJJ,/bjj-classes/teens-tannersville-ny,https://senseisandy.com/bjj-classes/teens-tannersville-ny,200_LOCAL,https://senseisandy.com/bjj-classes/teens-tannersville-ny,0,https://senseisandy.com/bjj-classes/teens-tannersville-ny,,CTA COMPONENT,"class=""dropdown-item"" href=""/bjj-classes/teens-tannersville-ny"""
admin/youth-intro.html,Adult BJJ,/bjj-classes/adults-tannersville-ny,https://senseisandy.com/bjj-classes/adults-tannersville-ny,200_LOCAL,https://senseisandy.com/bjj-classes/adults-tannersville-ny,0,https://senseisandy.com/bjj-classes/adults-tannersville-ny,,CTA COMPONENT,"class=""dropdown-item"" href=""/bjj-classes/adults-tannersville-ny"""
admin/youth-intro.html,Private Coaching,/private-lessons,https://senseisandy.com/private-lessons,200_LOCAL,https://senseisandy.com/private-lessons,0,https://senseisandy.com/private-lessons,,CTA COMPONENT,"class=""dropdown-item"" href=""/private-lessons"""
admin/youth-intro.html,How Class Works,/how-class-works,https://senseisandy.com/how-class-works,200_LOCAL,https://senseisandy.com/how-class-works,0,https://senseisandy.com/how-class-works,,CTA COMPONENT,"class=""dropdown-item"" href=""/how-class-works"""
admin/youth-intro.html,Studio Tour,/sensei-studio,https://senseisandy.com/sensei-studio,200_LOCAL,https://senseisandy.com/sensei-studio,0,https://senseisandy.com/sensei-studio,,CTA COMPONENT,"class=""dropdown-item"" href=""/sensei-studio"""
admin/youth-intro.html,Safety Walkthrough,/jiu-jitsu-safety-tannersville-ny,https://senseisandy.com/jiu-jitsu-safety-tannersville-ny,200_LOCAL,https://senseisandy.com/jiu-jitsu-safety-tannersville-ny,0,https://senseisandy.com/jiu-jitsu-safety-tannersville-ny,,CTA COMPONENT,"class=""dropdown-item"" href=""/jiu-jitsu-safety-tannersville-ny"""
admin/youth-intro.html,Success Stories,/success-stories,https://senseisandy.com/success-stories,200_LOCAL,https://senseisandy.com/success-stories,0,https://senseisandy.com/success-stories,,CTA COMPONENT,"class=""dropdown-item"" href=""/success-stories"""
admin/youth-intro.html,Pricing,/options-pricing,https://senseisandy.com/options-pricing,200_LOCAL,https://senseisandy.com/options-pricing,0,https://senseisandy.com/options-pricing,,CTA COMPONENT,"class=""nav-link"" href=""/options-pricing"""
admin/youth-intro.html,Parent Hub,/parent-resources,https://senseisandy.com/parent-resources,200_LOCAL,https://senseisandy.com/parent-resources,0,https://senseisandy.com/parent-resources,,CTA COMPONENT,"class=""nav-link"" href=""/parent-resources"""
admin/youth-intro.html,Reserve Free Intro,/free-bjj-intro-tannersville-ny#booking-flow,https://senseisandy.com/free-bjj-intro-tannersville-ny#booking-flow,200_LOCAL,https://senseisandy.com/free-bjj-intro-tannersville-ny,0,https://senseisandy.com/free-bjj-intro-tannersville-ny,,CTA COMPONENT,"class=""ss-nav-cta"" href=""/free-bjj-intro-tannersville-ny#booking-flow"""
admin/youth-intro.html,Choose Lane,/nearby-towns,https://senseisandy.com/nearby-towns,200_LOCAL,https://senseisandy.com/nearby-towns,0,https://senseisandy.com/nearby-towns,,CTA COMPONENT,"href=""/nearby-towns"""
admin/youth-intro.html,Free Intro,/free-bjj-intro-tannersville-ny#booking-flow,https://senseisandy.com/free-bjj-intro-tannersville-ny#booking-flow,200_LOCAL,https://senseisandy.com/free-bjj-intro-tannersville-ny,0,https://senseisandy.com/free-bjj-intro-tannersville-ny,,CTA COMPONENT,"href=""/free-bjj-intro-tannersville-ny#booking-flow"" data-goal-mapping"
admin/youth-intro.html,Schedule,/schedule,https://senseisandy.com/schedule,200_LOCAL,https://senseisandy.com/schedule,0,https://senseisandy.com/schedule,,CTA COMPONENT,"href=""/schedule"""
admin/youth-intro.html,Holiday Schedule,/holiday-schedule,https://senseisandy.com/holiday-schedule,200_LOCAL,https://senseisandy.com/holiday-schedule,0,https://senseisandy.com/holiday-schedule,,CTA COMPONENT,"href=""/holiday-schedule"""
admin/youth-intro.html,Show-Up Kit,/show-up-kit,https://senseisandy.com/show-up-kit,200_LOCAL,https://senseisandy.com/show-up-kit,0,https://senseisandy.com/show-up-kit,,CTA COMPONENT,"href=""/show-up-kit"""
admin/youth-intro.html,Parent Guide,/core-culture-parent-guide,https://senseisandy.com/core-culture-parent-guide,200_LOCAL,https://senseisandy.com/core-culture-parent-guide,0,https://senseisandy.com/core-culture-parent-guide,,CTA COMPONENT,"href=""/core-culture-parent-guide"""
admin/youth-intro.html,Directions,/bjj-tannersville-ny-directions,https://senseisandy.com/bjj-tannersville-ny-directions,200_LOCAL,https://senseisandy.com/bjj-tannersville-ny-directions,0,https://senseisandy.com/bjj-tannersville-ny-directions,,CTA COMPONENT,"href=""/bjj-tannersville-ny-directions"""
admin/youth-intro.html,Contact,/contact,https://senseisandy.com/contact,200_LOCAL,https://senseisandy.com/contact,0,https://senseisandy.com/contact,,CTA COMPONENT,"href=""/contact"""
admin/youth-intro.html,All BJJ Classes,/bjj-classes,https://senseisandy.com/bjj-classes,200_LOCAL,https://senseisandy.com/bjj-classes,0,https://senseisandy.com/bjj-classes,,CTA COMPONENT,"href=""/bjj-classes"""
admin/youth-intro.html,Kids BJJ,/bjj-classes/kids-tannersville-ny,https://senseisandy.com/bjj-classes/kids-tannersville-ny,200_LOCAL,https://senseisandy.com/bjj-classes/kids-tannersville-ny,0,https://senseisandy.com/bjj-classes/kids-tannersville-ny,,CTA COMPONENT,"href=""/bjj-classes/kids-tannersville-ny"""
admin/youth-intro.html,Teens BJJ,/bjj-classes/teens-tannersville-ny,https://senseisandy.com/bjj-classes/teens-tannersville-ny,200_LOCAL,https://senseisandy.com/bjj-classes/teens-tannersville-ny,0,https://senseisandy.com/bjj-classes/teens-tannersville-ny,,CTA COMPONENT,"href=""/bjj-classes/teens-tannersville-ny"""
admin/youth-intro.html,Adult BJJ,/bjj-classes/adults-tannersville-ny,https://senseisandy.com/bjj-classes/adults-tannersville-ny,200_LOCAL,https://senseisandy.com/bjj-classes/adults-tannersville-ny,0,https://senseisandy.com/bjj-classes/adults-tannersville-ny,,CTA COMPONENT,"href=""/bjj-classes/adults-tannersville-ny"""
admin/youth-intro.html,Summer BJJ,/bjj-classes/kids-tannersville-ny,https://senseisandy.com/bjj-classes/kids-tannersville-ny,200_LOCAL,https://senseisandy.com/bjj-classes/kids-tannersville-ny,0,https://senseisandy.com/bjj-classes/kids-tannersville-ny,,CTA COMPONENT,"href=""/bjj-classes/kids-tannersville-ny"""
admin/youth-intro.html,Private Lessons,/private-lessons,https://senseisandy.com/private-lessons,200_LOCAL,https://senseisandy.com/private-lessons,0,https://senseisandy.com/private-lessons,,CTA COMPONENT,"href=""/private-lessons"""
